COLOR,DESIGN,FABRIC,IMG,PRICE,PRODUCT_TYPE,SKU,TECHNIQUE,TITLE
Green,Shirt Length: 3.25 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m21309_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,990",Product Type: Kameez Dupatta,M21309,Technique: Printed Embroidered,Printed Embroidered Kameez Dupatta12
Olive,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210509_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210509,Technique: Printed,Unstitched Printed 3 Piece14
Lime Green,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l2104012_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,890",Product Type: Kameez Dupatta,L2104012,Technique: Printed,Unstitched Printed 2 Piece15
Lime Green,Shirt Length: 3 Meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m210212_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Dupatta,M210212,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece16
Green,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/m/2/m2103037_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,490",Product Type: Kameez Dupatta,M2103037,Technique: Printed Embroidered,Unstitched Embroidered 2 Piece17
Green,Design: Contemporary,Fabric: Dobby,"https://pk.khaadi.com/media/catalog/product/i/d/id21201_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants,ID21201,Technique: Solid Embroidered,Unstitched Embroidered 2 Piece18
Green,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/l/2/l21282_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 1,690",Product Type: Kameez Dupatta,L21282,Technique: Printed,Unstitched Printed 2 Piece19
Beige,"Shirt Length: 1.9 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210510_beige_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210510,Technique: Printed,Unstitched Printed 3 Piece20
Yellow,"Shirt Length: 1.9 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210510_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210510,Technique: Printed,Unstitched Printed 3 Piece21
Turquoise,"Shirt Length: 1.75 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210513_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210513,Technique: Printed,Unstitched Printed 3 Piece22
Yellow,"Shirt Length: 1.75 meters - 60""",Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210513_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,890",Product Type: Kameez Pants Dupatta,A210513,Technique: Printed,Unstitched Printed 3 Piece23
Green,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210530_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210530,Technique: Printed,Unstitched Printed 3 Piece24
Brown,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210530_red_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210530,Technique: Printed,Unstitched Printed 3 Piece25
Navy,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210536_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210536,Technique: Printed,Unstitched Printed 3 Piece26
Brown,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a210536_brown_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,590",Product Type: Kameez Pants Dupatta,A210536,Technique: Printed,Unstitched Printed 3 Piece27
Black,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21314_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,490",Product Type: Kameez Pants Dupatta,A21314,Technique: Printed,Unstitched Printed 3 Piece28
Blue,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21314_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,490",Product Type: Kameez Pants Dupatta,A21314,Technique: Printed,Unstitched Printed 3 Piece29
Brown,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21315_green_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,390",Product Type: Kameez Pants Dupatta,A21315,Technique: Printed,Unstitched Printed 3 Piece30
Cream,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21315_white_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,390",Product Type: Kameez Pants Dupatta,A21315,Technique: Printed,Unstitched Printed 3 Piece31
Purple,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21362_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21362,Technique: Printed,Unstitched Printed 3 Piece32
Purple,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21362_pink_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21362,Technique: Printed,Unstitched Printed 3 Piece33
Red,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21363_red_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21363,Technique: Printed,Unstitched Printed 3 Piece34
Yellow,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21363_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,790",Product Type: Kameez Pants Dupatta,A21363,Technique: Printed,Unstitched Printed 3 Piece35
Black,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21364_black_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=110&width=73&canvas=73:110","PKR 2,690",Product Type: Kameez Pants Dupatta,A21364,Technique: Printed,Unstitched Printed 3 Piece36
Brown,Shirt Length: 3 meters,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/a/2/a21364_brown_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 2,690",Product Type: Kameez Pants Dupatta,A21364,Technique: Printed,Unstitched Printed 3 Piece37
White,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21224_blue_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,190",Product Type: Kameez Pants Dupatta,B21224,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece38
Cream,Design: Traditional,Fabric: Lawn,"https://pk.khaadi.com/media/catalog/product/b/2/b21224_yellow_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1500&width=1000&canvas=1000:1500","PKR 3,190",Product Type: Kameez Pants Dupatta,B21224,Technique: Printed Embroidered,Unstitched Embroidered 3 Piece39
